,city,trips_in_first_30_days,avg_rating_of_driver,avg_surge,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,rider_didnot_rate,active
23474,0,0,4.8,1.0,1.0,0.0,1,0.0,3.05,5.0,0,0
22265,2,0,4.0,1.25,0.0,100.0,0,0.0,9.56,5.0,1,0
42570,1,2,4.7,1.02,1.0,7.7,0,61.5,2.43,4.6,0,0
37523,1,0,5.0,1.0,1.0,0.0,1,50.0,1.49,5.0,0,1
12349,1,0,5.0,1.0,0.0,0.0,0,100.0,0.79,5.0,0,0
10968,2,1,4.0,1.0,0.0,0.0,0,100.0,6.21,5.0,0,0
15209,1,0,5.0,1.0,1.0,0.0,0,100.0,2.51,5.0,0,0
34137,1,1,5.0,1.0,1.0,0.0,1,100.0,14.98,5.0,0,0
5449,0,0,4.6,1.5,1.0,83.3,0,33.3,2.19,4.8,0,0
22113,2,2,5.0,1.1400000000000001,1.0,28.6,0,14.3,3.7199999999999998,4.6,0,1
9072,0,1,5.0,1.32,1.0,71.4,0,100.0,4.27,4.9,0,0
31163,1,0,4.0,1.0,0.0,0.0,0,100.0,14.1,5.0,1,0
39477,2,1,5.0,1.75,0.0,100.0,0,0.0,1.13,5.0,0,0
40667,1,1,4.3,1.0,1.0,0.0,1,90.5,3.13,4.5,0,1
26301,0,0,4.0,1.0,1.0,0.0,0,0.0,2.09,5.0,1,0
11076,1,2,4.5,1.0,1.0,0.0,0,50.0,6.5600000000000005,5.0,0,0
48426,2,0,4.0,1.0,1.0,0.0,1,0.0,0.6000000000000001,5.0,1,0
48180,2,3,5.0,1.0,1.0,0.0,1,0.0,2.33,5.0,0,1
4442,1,1,5.0,1.0,0.0,0.0,0,100.0,4.05,5.0,0,0
30933,1,1,5.0,1.0,0.0,0.0,0,100.0,1.76,5.0,0,0
28431,2,0,4.0,1.0,0.0,0.0,0,50.0,1.63,5.0,0,1
44546,1,8,4.9,1.0,0.0,0.0,0,66.7,2.96,4.0,0,1
46254,2,1,4.5,1.0,0.0,0.0,0,100.0,8.23,5.0,0,1
45993,0,5,4.9,1.03,1.0,9.4,0,59.4,3.23,4.8,0,0
47895,2,0,5.0,1.0,1.0,0.0,0,33.3,4.57,5.0,0,1
28744,2,0,5.0,1.0,1.0,0.0,1,100.0,9.21,5.0,0,1
17956,1,0,5.0,1.0,0.0,0.0,0,100.0,0.89,4.0,0,0
23090,2,2,5.0,1.0,1.0,0.0,0,0.0,2.54,5.0,0,0
45990,0,0,4.0,1.0,1.0,0.0,1,0.0,5.05,5.0,1,0
27884,1,1,4.0,1.0,0.0,0.0,1,100.0,1.04,4.0,1,0
30233,0,9,4.9,1.16,1.0,18.9,1,54.1,3.99,4.8,0,1
39029,1,1,5.0,1.0,1.0,0.0,0,100.0,4.57,4.8,0,0
3742,1,1,5.0,1.0,0.0,0.0,0,0.0,3.12,5.0,0,0
3547,0,1,4.0,1.0,0.0,0.0,0,100.0,4.33,5.0,1,0
36584,1,10,4.5,1.02,0.0,4.3,0,82.6,2.47,4.8,0,1
39267,0,0,4.0,1.0,1.0,0.0,0,0.0,1.25,5.0,1,1
32592,0,0,3.0,1.0,1.0,0.0,0,100.0,1.05,5.0,0,0
13378,2,15,4.8,1.27,1.0,34.7,0,42.9,2.18,4.4,0,0
27051,1,0,4.0,1.0,1.0,0.0,0,100.0,2.54,4.0,1,0
6493,2,1,5.0,1.0,1.0,0.0,0,100.0,3.35,5.0,0,1
11825,2,15,5.0,1.03,0.0,5.1,0,73.1,3.49,4.9,0,1
3423,0,2,5.0,1.0,1.0,0.0,0,50.0,6.99,5.0,0,0
9219,0,4,5.0,1.0,1.0,0.0,0,0.0,8.59,4.5,0,0
26743,1,9,4.6,1.13,1.0,17.9,1,23.1,3.95,4.5,0,1
19386,0,2,5.0,1.17,1.0,33.3,0,66.7,2.9,4.7,0,1
48957,1,1,5.0,1.0,1.0,0.0,0,33.3,2.01,5.0,0,1
38156,2,1,4.0,1.0,1.0,0.0,1,100.0,32.23,5.0,1,1
30754,0,12,3.8,1.07,1.0,9.7,1,64.5,2.98,4.7,0,1
1892,0,0,4.0,1.0,1.0,0.0,0,50.0,18.7,5.0,0,0
9449,1,3,4.8,1.0,0.0,0.0,0,40.0,2.27,4.4,0,0
46040,0,3,4.0,1.0,1.0,0.0,1,75.0,1.57,5.0,0,0
31936,0,0,4.0,1.0,1.0,0.0,0,0.0,6.47,5.0,1,0
36710,1,4,3.7,1.38,1.0,25.0,1,75.0,5.89,4.5,0,0
47220,0,3,5.0,1.0,0.0,0.0,0,0.0,4.89,4.8,0,0
5415,1,2,5.0,1.0,0.0,0.0,1,25.0,6.22,4.3,0,1
21786,1,0,5.0,1.0,1.0,0.0,0,100.0,3.77,4.0,0,0
12612,0,2,4.6,1.0,1.0,0.0,1,37.5,3.5300000000000002,5.0,0,0
30268,1,0,4.7,1.09,0.0,10.5,0,36.8,4.94,4.2,0,1
13510,1,34,4.4,1.1,1.0,7.1,1,74.1,2.7800000000000002,4.5,0,1
17796,1,0,4.0,1.0,1.0,0.0,1,100.0,2.7,5.0,0,1
2286,0,0,4.5,1.0,1.0,0.0,0,50.0,4.35,5.0,0,0
36820,1,2,5.0,1.0,0.0,0.0,0,100.0,0.71,5.0,0,0
11169,0,1,4.0,1.0,1.0,0.0,0,100.0,7.48,4.0,1,0
17366,1,2,5.0,1.0,0.0,0.0,0,40.0,5.83,4.8,0,0
1404,0,1,4.5,1.13,1.0,25.0,1,100.0,2.44,5.0,0,0
46990,2,1,5.0,1.0,1.0,0.0,1,100.0,2.13,4.5,0,1
16888,0,0,5.0,1.0,1.0,0.0,1,100.0,4.16,4.0,0,0
32898,1,5,4.8,1.09,1.0,13.0,0,39.1,6.67,4.9,0,1
16660,0,4,4.5,1.18,1.0,20.0,1,60.0,2.44,4.7,0,1
21041,1,4,4.8,1.0,1.0,0.0,0,0.0,1.46,4.3,0,0
2249,1,0,4.0,1.0,1.0,0.0,0,0.0,6.76,5.0,0,1
44709,0,10,5.0,1.22,1.0,19.5,1,43.9,2.9,4.9,0,1
48925,0,4,3.5,1.17,1.0,15.8,1,31.6,4.61,4.8,0,1
36129,0,0,3.5,1.0,0.0,0.0,1,0.0,1.35,5.0,0,0
15223,1,1,4.5,1.0,0.0,0.0,1,100.0,3.7199999999999998,5.0,0,0
22602,1,1,5.0,1.08,1.0,33.3,0,100.0,19.67,4.0,0,0
7457,0,5,4.3,1.16,1.0,14.3,0,78.6,9.77,4.7,0,0
8180,1,1,5.0,1.15,1.0,20.0,0,40.0,9.39,4.4,0,1
16048,0,5,4.8,1.03,1.0,5.1,0,59.0,3.5700000000000003,4.9,0,1
21770,0,0,5.0,1.0,1.0,0.0,0,100.0,2.75,5.0,0,0
2144,1,2,4.0,1.0,1.0,0.0,0,100.0,6.89,4.5,0,0
36716,2,3,3.5,1.0,1.0,0.0,1,44.4,4.31,4.4,0,1
44775,1,2,4.9,1.05,1.0,7.4,1,77.8,2.89,4.9,0,1
20566,2,0,5.0,1.0,0.0,0.0,0,100.0,13.6,5.0,0,1
11889,1,0,3.5,1.0,1.0,0.0,0,50.0,0.97,5.0,0,1
25326,1,0,5.0,1.15,1.0,20.0,1,60.0,4.63,4.6,0,0
30731,0,1,4.0,1.0,1.0,0.0,1,50.0,6.02,5.0,1,0
6737,1,2,5.0,1.0,1.0,0.0,0,58.3,2.16,4.5,0,1
28059,0,0,4.9,1.0,1.0,0.0,0,75.0,2.62,4.9,0,0
46644,1,1,4.2,1.0,1.0,0.0,0,100.0,13.79,5.0,0,1
40122,1,2,5.0,1.0,0.0,0.0,0,50.0,7.58,4.5,0,0
7528,2,1,5.0,1.0,1.0,0.0,1,66.7,11.93,5.0,0,1
32148,0,1,4.0,1.0,1.0,0.0,1,100.0,1.8,5.0,1,0
30609,0,6,4.4,1.0,1.0,0.0,1,14.3,1.25,5.0,0,1
1832,2,0,4.0,1.0,0.0,0.0,0,0.0,3.14,5.0,0,0
44705,1,3,5.0,1.05,1.0,20.0,0,60.0,4.43,5.0,0,0
25013,0,3,4.5,1.0,1.0,0.0,1,100.0,2.15,5.0,0,1
13269,1,3,3.0,1.0,1.0,0.0,0,87.5,3.52,4.6,0,1
21093,0,3,4.8,1.03,1.0,4.2,1,58.3,2.62,5.0,0,1
3769,0,2,5.0,1.0,1.0,0.0,0,100.0,1.1,5.0,0,0
13502,2,11,5.0,1.07,0.0,13.0,0,56.5,2.77,5.0,0,1
15553,2,3,4.4,1.02,1.0,6.1,1,72.7,4.04,4.7,0,0
7145,2,1,4.5,1.0,1.0,0.0,1,100.0,8.16,3.5,0,1
40547,0,6,4.7,1.06,0.0,12.5,0,100.0,1.43,4.9,0,0
4219,1,11,4.8,1.0,1.0,0.0,1,41.7,1.23,4.8,0,0
9674,2,0,5.0,1.0,0.0,0.0,1,100.0,1.6,5.0,0,0
29903,2,0,5.0,1.0,0.0,0.0,1,100.0,4.06,4.7,0,1
30362,1,0,5.0,1.0,0.0,0.0,0,33.3,3.74,5.0,0,1
7453,1,6,5.0,1.31,1.0,32.4,0,64.7,2.11,4.7,0,1
6809,1,0,4.0,1.0,0.0,0.0,1,0.0,23.24,5.0,1,0
34960,1,6,4.9,1.18,0.0,6.7,0,80.0,7.78,4.4,0,0
42410,1,1,3.0,1.0,0.0,0.0,1,100.0,1.17,5.0,0,0
22197,1,0,5.0,1.0,1.0,0.0,0,100.0,0.6900000000000001,4.5,0,0
4521,1,0,5.0,1.0,0.0,0.0,1,100.0,1.71,5.0,0,0
95,0,1,4.0,1.0,1.0,0.0,1,100.0,1.35,4.0,1,0
32342,0,0,4.0,1.0,0.0,0.0,0,0.0,11.74,5.0,1,1
42974,1,3,4.7,1.1,0.0,14.3,1,64.3,3.11,4.5,0,1
48911,0,6,3.8,1.1400000000000001,1.0,7.1,1,100.0,1.12,4.6,0,0
7994,0,10,4.9,1.08,1.0,7.7,1,57.7,2.27,4.8,0,1
11405,1,0,5.0,1.0,0.0,0.0,0,16.7,5.62,4.2,0,0
8547,1,0,4.0,1.0,1.0,0.0,1,0.0,4.04,5.0,1,0
17860,0,1,4.0,1.0,1.0,0.0,0,0.0,3.46,5.0,1,0
22647,1,2,4.0,1.0,0.0,0.0,1,72.7,4.77,4.6,0,1
29888,0,4,4.3,1.0,1.0,0.0,0,0.0,0.66,5.0,0,0
16607,1,3,3.7,1.08,1.0,33.3,0,100.0,6.62,3.7,0,0
10317,1,3,5.0,1.0,1.0,0.0,0,100.0,5.37,5.0,0,0
4982,0,0,4.5,1.0,1.0,0.0,0,0.0,1.57,5.0,0,0
14246,1,1,5.0,1.5,0.0,50.0,0,50.0,11.45,4.0,0,0
13136,1,1,4.3,1.0,0.0,0.0,0,60.0,3.68,4.9,0,0
8075,1,2,4.7,1.0,1.0,0.0,1,43.8,6.55,4.9,0,1
42522,1,0,4.0,1.0,1.0,0.0,0,0.0,11.92,5.0,1,0
27062,1,1,4.0,1.0,1.0,0.0,1,0.0,8.86,5.0,0,1
27796,1,5,4.9,1.07,1.0,6.7,0,100.0,3.7199999999999998,4.9,0,1
29569,0,2,5.0,1.0,0.0,0.0,1,100.0,7.69,5.0,0,0
8909,1,0,4.0,1.0,1.0,0.0,0,40.0,2.59,5.0,0,0
43914,0,0,4.0,1.0,0.0,0.0,1,100.0,7.6,5.0,0,0
29547,2,0,4.4,1.0,1.0,0.0,1,100.0,0.78,5.0,0,0
31025,2,2,5.0,1.0,1.0,0.0,1,100.0,14.84,5.0,0,0
25709,0,0,5.0,1.0,1.0,0.0,0,66.7,2.79,4.3,0,1
14827,0,3,4.7,1.0,0.0,0.0,0,33.3,6.18,5.0,0,0
4877,0,0,4.5,1.0,1.0,0.0,1,66.7,3.38,5.0,0,0
21758,1,0,5.0,1.0,1.0,0.0,1,83.3,4.28,4.3,0,0
34692,0,0,5.0,1.0,1.0,0.0,1,80.0,1.6800000000000002,4.4,0,0
39042,2,0,4.8,1.0,0.0,0.0,0,100.0,5.95,4.7,0,0
48997,2,0,5.0,1.29,1.0,46.2,1,46.2,1.7000000000000002,4.7,0,1
17434,0,17,4.5,1.02,1.0,4.8,0,75.0,2.15,4.8,0,1
40116,1,1,4.0,1.0,0.0,0.0,0,100.0,1.5,3.0,1,0
32122,1,2,5.0,1.0,1.0,0.0,0,0.0,2.88,5.0,0,0
2094,0,0,4.0,1.04,1.0,5.6,0,55.6,4.06,4.8,0,1
34747,0,1,4.0,1.0,0.0,0.0,0,50.0,22.26,5.0,1,0
31710,0,1,5.0,1.25,1.0,100.0,0,100.0,3.62,5.0,0,0
24440,2,4,4.3,1.0,1.0,0.0,0,80.0,11.6,4.6,0,1
32880,0,2,5.0,1.06,1.0,8.3,1,50.0,1.46,4.6,0,1
49835,0,1,5.0,1.0,0.0,0.0,1,100.0,2.91,5.0,0,0
28010,2,1,4.8,1.0,1.0,0.0,1,62.5,4.19,4.4,0,1
43165,0,2,3.0,1.0,0.0,0.0,1,100.0,1.43,5.0,0,0
32017,2,1,4.9,1.13,1.0,24.2,0,66.7,1.6400000000000001,4.9,0,1
40050,0,0,4.0,1.0,1.0,0.0,0,0.0,0.61,4.0,1,0
38528,1,2,5.0,1.1400000000000001,1.0,14.3,1,14.3,4.69,4.9,0,1
41252,1,0,4.0,1.0,1.0,0.0,1,100.0,2.9,5.0,1,0
30303,1,0,4.0,1.0,1.0,0.0,0,50.0,8.86,4.7,0,1
839,0,4,4.7,1.0,1.0,0.0,1,57.1,1.81,4.5,0,1
20126,2,4,2.7,1.0,0.0,0.0,1,83.3,7.71,4.8,0,0
22333,0,1,4.5,1.13,1.0,15.8,0,63.2,3.49,4.7,0,1
6399,0,7,3.4,1.01,1.0,1.3,0,80.0,5.79,4.4,0,0
14040,2,1,5.0,1.0,1.0,0.0,1,100.0,14.16,4.7,0,0
40453,2,1,5.0,1.0,1.0,0.0,1,100.0,3.66,5.0,0,1
48353,1,2,4.7,1.0,1.0,0.0,1,25.0,4.5600000000000005,4.9,0,1
19057,2,1,4.0,1.75,1.0,50.0,0,100.0,2.42,5.0,1,0
44121,1,0,4.0,1.38,1.0,50.0,0,50.0,9.82,5.0,1,0
20106,0,1,5.0,1.0,0.0,0.0,0,100.0,3.0,5.0,0,0
10119,2,7,4.9,1.0,1.0,0.0,0,100.0,9.87,4.9,0,1
28877,1,2,5.0,1.0,0.0,0.0,0,100.0,2.79,5.0,0,0
24796,0,13,3.8,1.0,0.0,0.0,0,84.6,0.84,4.5,0,0
39153,2,1,4.0,1.0,1.0,0.0,0,0.0,13.67,5.0,0,0
41638,2,0,4.0,1.0,0.0,0.0,1,100.0,4.26,5.0,1,1
15248,0,0,5.0,1.0,1.0,0.0,0,100.0,2.39,4.3,0,0
33462,0,4,4.0,1.0,1.0,0.0,1,25.0,8.06,5.0,0,0
3084,1,12,4.6,1.26,1.0,26.2,1,33.3,2.76,4.7,0,1
12364,2,2,5.0,1.58,0.0,66.7,0,0.0,2.58,5.0,0,0
8332,2,1,5.0,1.0,0.0,0.0,1,100.0,13.69,5.0,0,0
21838,0,0,4.0,1.0,1.0,0.0,0,66.7,2.99,4.0,0,0
16606,1,7,5.0,1.1,1.0,15.4,0,61.5,1.73,5.0,0,0
20472,0,1,4.5,1.0,0.0,0.0,1,33.3,7.34,4.7,0,0
11873,2,1,5.0,1.1400000000000001,1.0,20.0,0,44.0,3.11,4.9,0,1
48561,0,4,4.4,1.0,1.0,0.0,1,81.0,1.23,4.7,0,1
20263,0,4,5.0,1.0,1.0,0.0,0,100.0,2.0,5.0,0,0
41133,1,2,4.5,1.0,0.0,0.0,1,63.6,4.3,4.9,0,1
17655,0,1,4.0,1.0,1.0,0.0,0,100.0,18.43,5.0,1,0
8317,1,1,4.0,1.0,0.0,0.0,0,100.0,15.51,3.0,1,0
4733,0,17,4.3,1.06,1.0,6.3,0,75.0,2.9699999999999998,4.7,0,0
10351,2,1,5.0,1.0,1.0,0.0,0,33.3,4.3,5.0,0,1
48505,1,3,3.8,1.0,1.0,0.0,0,40.0,3.25,4.8,0,0
45982,0,0,4.0,1.0,1.0,0.0,1,100.0,14.71,5.0,1,0
45223,0,0,4.0,1.0,0.0,0.0,0,100.0,2.41,5.0,0,0
44776,1,0,4.0,1.0,0.0,0.0,0,100.0,2.12,5.0,1,1
23861,1,0,4.8,1.16,1.0,14.3,1,14.3,3.29,5.0,0,1
38592,1,2,5.0,1.0,1.0,0.0,0,100.0,6.41,5.0,0,0
11861,2,2,5.0,1.0,1.0,0.0,0,0.0,7.03,5.0,0,0
13578,2,2,5.0,1.0,1.0,0.0,0,100.0,4.46,5.0,0,1
42535,1,1,5.0,1.0,1.0,0.0,0,0.0,15.87,5.0,0,0
5710,1,7,4.3,1.0,1.0,0.0,1,63.6,4.2,4.5,0,1
14275,1,1,4.0,1.0,1.0,0.0,0,66.7,2.55,5.0,0,0
44760,0,19,4.5,1.13,1.0,17.1,1,80.0,2.95,4.9,0,1
23695,1,2,4.5,1.5,1.0,50.0,0,50.0,4.99,4.5,0,0
44138,1,0,4.7,1.0,1.0,0.0,0,33.3,3.61,5.0,0,0
26084,2,0,4.0,1.0,1.0,0.0,0,0.0,5.88,5.0,1,0
48005,1,3,4.0,1.0,1.0,0.0,1,71.4,6.2,4.6,0,1
29917,1,3,4.1,1.0,1.0,0.0,0,100.0,1.32,4.8,0,1
15766,1,16,4.0,1.12,1.0,15.9,0,71.6,2.92,4.7,0,1
10909,1,1,5.0,1.0,1.0,0.0,1,0.0,9.58,4.0,0,0
41270,1,1,5.0,1.0,1.0,0.0,0,0.0,0.8300000000000001,5.0,0,0
687,0,0,5.0,2.0,0.0,50.0,0,0.0,2.13,5.0,0,0
12680,0,2,4.0,1.0,0.0,0.0,0,100.0,2.96,5.0,1,0
10613,1,0,5.0,1.0,0.0,0.0,0,0.0,3.43,5.0,0,1
18278,1,0,5.0,1.0,1.0,0.0,0,100.0,5.45,5.0,0,0
41197,1,2,4.8,1.0,1.0,0.0,1,53.3,3.99,4.7,0,1
18750,1,2,5.0,1.0,1.0,0.0,1,37.5,2.5300000000000002,4.8,0,1
23828,0,1,5.0,1.0,0.0,0.0,0,100.0,2.92,5.0,0,0
31538,0,6,4.8,1.11,0.0,16.7,0,61.1,4.09,4.7,0,0
30970,1,5,4.9,1.02,1.0,8.3,0,45.8,2.7199999999999998,4.7,0,1
26375,0,2,4.0,1.0,1.0,0.0,1,100.0,1.25,4.0,1,1
47349,2,3,4.9,1.11,1.0,14.3,1,71.4,8.23,5.0,0,1
10821,0,2,4.0,1.0,0.0,0.0,1,0.0,7.5600000000000005,5.0,1,1
8872,1,0,4.0,1.0,1.0,0.0,0,100.0,14.66,5.0,1,0
10706,2,0,4.0,1.0,1.0,0.0,0,100.0,9.41,5.0,1,0
39311,1,0,5.0,1.0,0.0,0.0,0,100.0,0.0,4.0,0,0
13584,2,2,4.6,1.1400000000000001,1.0,18.8,0,43.8,6.44,5.0,0,1
12428,1,20,4.2,1.09,1.0,10.3,1,82.2,2.5,4.6,0,1
45172,0,2,4.0,1.03,1.0,11.1,0,77.8,5.53,4.7,0,1
20397,1,2,5.0,1.0,1.0,0.0,0,50.0,6.11,5.0,0,0
36330,0,6,4.0,1.0,1.0,0.0,0,91.3,3.07,4.6,0,0
42321,1,1,5.0,1.0,1.0,0.0,0,100.0,13.98,5.0,0,0
41588,0,2,4.7,1.2,1.0,27.3,0,81.8,2.71,4.7,0,1
12305,1,1,5.0,1.0,0.0,0.0,0,100.0,2.77,5.0,0,0
27718,0,2,5.0,1.75,0.0,40.0,1,60.0,3.71,5.0,0,0
24410,1,3,4.0,1.11,1.0,9.1,0,86.4,4.7,4.1,0,1
14043,1,1,4.0,1.0,1.0,0.0,0,100.0,1.69,5.0,1,0
47538,2,3,4.6,1.0,1.0,0.0,1,46.2,5.0,4.9,0,1
30458,0,4,4.7,1.0,0.0,0.0,0,50.0,9.79,5.0,0,0
46335,1,3,3.5,1.0,0.0,0.0,0,80.0,6.9,3.8,0,0
28080,1,1,5.0,1.0,1.0,0.0,0,100.0,1.04,5.0,0,0
2914,1,5,4.4,1.0,1.0,0.0,0,100.0,8.09,5.0,0,0
15401,0,0,5.0,1.38,0.0,50.0,1,50.0,6.93,5.0,0,0
29933,2,0,4.0,1.0,1.0,0.0,0,100.0,12.04,5.0,1,0
29391,1,1,5.0,1.1400000000000001,1.0,28.6,0,42.9,3.04,4.7,0,1
47055,0,1,5.0,1.0,1.0,0.0,1,66.7,7.58,4.3,0,0
27278,1,3,3.8,1.02,1.0,7.7,1,53.8,2.45,4.9,0,1
6381,1,14,5.0,1.05,0.0,11.6,0,65.2,4.93,4.6,0,0
40101,0,1,5.0,1.25,1.0,50.0,1,50.0,3.32,4.6,0,1
9580,0,3,4.7,1.11,1.0,11.1,1,44.4,7.62,4.6,0,1
7191,0,2,4.9,1.0,1.0,0.0,1,78.6,1.71,4.5,0,1
10787,1,1,4.0,1.0,1.0,0.0,0,100.0,19.98,5.0,1,0
6089,1,2,5.0,1.0,1.0,0.0,0,0.0,10.05,5.0,0,0
20787,0,2,5.0,1.0,0.0,0.0,0,76.9,3.98,4.8,0,0
1149,1,0,3.0,1.0,1.0,0.0,0,50.0,2.95,5.0,0,0
43356,1,8,5.0,1.04,1.0,6.0,1,72.6,2.1,4.5,0,1
23743,1,3,5.0,1.25,1.0,11.1,1,66.7,2.37,4.4,0,1
41902,2,0,4.0,1.0,1.0,0.0,0,0.0,0.65,5.0,1,1
15132,1,0,5.0,1.0,1.0,0.0,1,0.0,0.79,3.0,0,0
34325,0,10,4.9,1.06,1.0,11.1,0,44.4,2.17,5.0,0,0
1971,0,0,5.0,1.0,0.0,0.0,0,100.0,6.94,5.0,0,0
40154,0,5,4.4,1.0,1.0,0.0,1,20.0,1.4,5.0,0,0
1228,0,14,3.9,1.07,1.0,8.0,1,76.0,3.64,4.8,0,1
19256,1,2,4.9,1.02,1.0,6.3,1,43.8,11.19,5.0,0,0
8921,1,0,4.0,1.0,1.0,0.0,0,100.0,2.2800000000000002,5.0,1,0
1782,1,0,4.0,1.0,1.0,0.0,1,100.0,5.27,5.0,1,0
795,1,3,3.6,1.0,1.0,0.0,0,100.0,2.64,5.0,0,1
13398,2,1,5.0,1.0,0.0,0.0,1,100.0,24.23,5.0,0,0
46793,0,2,5.0,1.0,1.0,0.0,0,66.7,9.78,4.7,0,0
18401,0,26,4.9,1.06,1.0,12.3,1,73.6,1.75,4.7,0,1
19680,1,3,5.0,1.0,1.0,0.0,0,33.3,2.93,5.0,0,0
34263,1,1,4.9,1.0,1.0,0.0,0,58.3,6.73,4.8,0,1
35934,0,2,5.0,1.0,1.0,0.0,1,100.0,1.4100000000000001,5.0,0,0
16178,1,1,4.5,1.0,0.0,0.0,0,50.0,2.17,4.8,0,0
1785,1,2,4.7,1.05,0.0,20.0,0,0.0,4.54,4.0,0,0
28120,2,3,5.0,1.17,1.0,33.3,0,66.7,5.04,5.0,0,0
17924,1,4,5.0,1.0,1.0,0.0,0,100.0,1.55,4.2,0,0
11826,0,2,4.8,1.13,1.0,14.5,1,61.3,3.41,4.8,0,1
6783,1,0,4.0,1.0,1.0,0.0,0,100.0,17.09,5.0,0,0
16263,0,1,4.0,1.0,1.0,0.0,1,100.0,5.19,5.0,0,0
35021,1,0,4.8,1.08,1.0,13.2,1,57.9,2.42,4.7,0,1
23358,1,2,5.0,1.0,1.0,0.0,1,100.0,21.63,5.0,0,0
10630,1,1,4.0,1.0,1.0,0.0,1,100.0,10.33,3.0,1,0
1218,1,1,5.0,1.0,0.0,0.0,0,0.0,4.9,5.0,0,0
43101,1,3,5.0,1.0,0.0,0.0,1,100.0,7.72,5.0,0,0
15674,0,1,4.0,1.0,1.0,0.0,0,100.0,4.03,5.0,1,0
14384,0,1,4.0,1.0,1.0,0.0,0,100.0,40.16,5.0,1,0
11318,1,2,4.5,1.04,1.0,5.6,0,100.0,3.87,4.8,0,1
40946,0,3,5.0,1.0,1.0,0.0,0,100.0,1.52,5.0,0,0
4815,0,1,4.0,1.0,1.0,0.0,1,100.0,0.11,5.0,1,0
22748,1,0,4.0,1.0,0.0,0.0,0,0.0,0.07,5.0,1,0
48033,0,0,4.0,1.0,1.0,0.0,0,0.0,4.98,5.0,1,0
37756,1,0,4.0,1.0,1.0,0.0,0,75.0,2.51,5.0,0,0
21605,0,2,5.0,1.0,0.0,0.0,0,100.0,0.97,5.0,0,0
22070,0,2,5.0,1.0,0.0,0.0,0,0.0,2.59,4.5,0,0
11650,1,1,3.5,1.0,0.0,0.0,0,20.0,2.27,4.2,0,0
35932,1,14,4.9,1.11,1.0,17.6,1,41.2,2.32,4.4,0,1
22438,2,0,4.0,1.0,1.0,0.0,0,100.0,2.65,5.0,1,1
31423,1,1,4.0,1.0,1.0,0.0,0,0.0,12.87,5.0,1,0
23602,1,1,3.5,1.0,1.0,0.0,0,50.0,2.68,4.5,0,0
14364,1,11,4.9,1.02,1.0,4.0,0,84.2,5.07,4.6,0,1
35097,0,0,5.0,1.0,1.0,0.0,1,50.0,1.99,5.0,0,0
39290,1,1,3.0,1.0,0.0,0.0,0,100.0,3.04,4.0,0,0
15606,1,2,2.7,1.0,1.0,0.0,0,55.6,5.92,4.8,0,0
33360,0,1,5.0,1.0,1.0,0.0,0,100.0,7.88,5.0,0,0
11854,1,0,4.0,1.04,0.0,8.3,0,16.7,3.8200000000000003,4.8,0,1
40546,0,2,5.0,1.0,0.0,0.0,0,50.0,4.66,4.0,0,0
19151,2,2,5.0,1.04,1.0,16.7,0,83.3,1.71,5.0,0,1
29483,1,0,4.0,1.0,0.0,0.0,0,100.0,1.6,3.5,0,1
40266,0,0,4.0,1.0,0.0,0.0,1,100.0,3.15,5.0,1,0
